"feature","start","end","dominant","pvalue"
"72342613",1,4,"Heavy",0.02
"72342635",1,5,"Heavy",0.025
"72342654",3,5,"Heavy",0.042
"723426128",1,3,"Heavy",0.044
"723426140",1,3,"Heavy",0.025
"723426202",1,4,"Heavy",0.0235555555555556
"723426230",1,5,"Heavy",0.00466666666666667
"723426289",4,5,"Light",0.036
"723426316",1,4,"Heavy",0.0342222222222222
"723426350",1,2,"Heavy",0.004
"723426362",1,5,"Heavy",0.038
"723426450",1,5,"Light",0.02575
"723426451",1,5,"Heavy",0.04
"7234263270",1,4,"Light",0.0224444444444444
"7234263552",1,4,"Heavy",0.0457777777777778
